Краткое наименование ценной бумаги;Краткое наименование управляющей компании;Тип ценной бумаги;Номер правил ДУ ценной бумаги (при отсутствии - код ISIN);ИНН управляющей компании;Торговый код ценной бумаги
FXAU ETF;ФинЭкс Инвестмент Менеджмент ЛЛП;ип;IE00BD3QF110;;FXAU        
FXCN ETF;ФинЭкс Инвестмент Менеджмент ЛЛП;ип;IE00BD3QFB18;;FXCN        
FXDE ETF;ФинЭкс Инвестмент Менеджмент ЛЛП;ип;IE00BD3QJN10;;FXDE        
FXGD ETF;ФинЭкс Инвестмент Менеджмент ЛЛП;ип;IE00B8XB7377;;FXGD        
FXJP ETF;ФинЭкс Инвестмент Менеджмент ЛЛП;ип;IE00BD3QJ310;;FXJP        
FXMM ETF;ФинЭкс Инвестмент Менеджмент ЛЛП;ип;IE00BL3DYX33;;FXMM        
FXRB ETF;ФинЭкс Инвестмент Менеджмент ЛЛП;ип;IE00B7L7CP77;;FXRB        
FXRL ETF;ФинЭкс Инвестмент Менеджмент ЛЛП;ип;IE00BQ1Y6480;;FXRL        
FXRU ETF;ФинЭкс Инвестмент Менеджмент ЛЛП;ип;IE00B84D7P43;;FXRU        
FXUK ETF;ФинЭкс Инвестмент Менеджмент ЛЛП;ип;IE00BD3QHV53;;FXUK        
FXUS ETF;ФинЭкс Инвестмент Менеджмент ЛЛП;ип;IE00BD3QHZ91;;FXUS        
iFXIT ETF;ФинЭкс Инвестмент Менеджмент ЛЛП;ип;IE00BD3QJ757;;FXIT        
RUSE ETF;Фукс Эссет Менеджмент Эс.Эй.;ип;LU1483649312;;RUSE        
ВТБФондКаз;АО ВТБ Капитал Управление активами;ип;0089-59893097;7701140866;RU000A0JR2C1
ПИФ РубОбл;"ООО УК ""Пенсионные накопления""";ип;2940;7701853183;RU000A0JX1H4