,RU000A0JNYN1,RU000A0JQHM1,RU000A0JQXG0,RU000A0JR6S8,RU000A0JR5F7,RU000A0JNUN9,RU000A0JSGV0,RU000A0JTU85,RU000A0JQ7X7,RU000A0JQ5Q5,RU000A0JQRD9,RU000A0JQ7Z2,RU000A0JU3B6,RU000A0JU2N3,RU000A0JUAH8,RU000A0JUJG1,RU000A0JR4J2,YNDX,RU000A0JUG15,RU000A0JUW23,RU000A0JTX09,RGSS,RU000A0JWBN0,RU000A0JVZA8,RU000A0JVT43,RU000A0JW118,RU000A0JWM49,RU000A0JWQX7,RU000A0JUWV3,RU000A0JWWX5,AGRO,RU000A0JXFC2,RU000A0JWYK8,RU000A0JXN13,RU000A0JXLM9,RU000A0JXTB5,RU000A0JT7G9,RU000A0JWP46,RU000A0JXUU3,RU000A0JXY85,RU000A0JXVY3,RU000A0JURB5,RU000A0ZYEB1,RU000A0JUBD5,GTRK,OBUV,RU000A0ZYG37,RU000A0JVWJ6,RU000A0JXE06,RU000A0ZYKF9,RU000A0ZYG78,RU000A0ZYU54,MRKC,RU000A0ZYSS5,RU000A0JXY44,RU000A0ZYJ42,RU000A0JS934,FXDE,FXAU,FXCN,FXMM,FXRB,FXIT,FXJP,FXGD,FXRU,FXUK,FXUS,FXRL,RU000A0JXS26,RU000A0ZYLX0,RU000A0JX3M0,RU000A0JT403,RU000A0JT6B2,RU000A0JR2C1,RU000A0ZZ9X2,MRKP,RU000A0ZZAT8,RU000A0ZZ8U0,RU000A0JR3G0,RU000A0JR3H8,RU000A0JS4Z7,RU000A0ZZ0L6,ROST,RU000A0JTER1,RU000A0ZZBV2,RU000A0ZZE87,RU000A0ZZBD0,RU000A0ZZ6Q2,RU000A0JXT58,RU000A0JR282,RU000A0JXPU3,RU000A0ZYCR1,RU000A0ZZDB0,RU000A0ZZ984,RU000A0ZZ1J8,RU000A0ZZAL5,RAVN,RU000A0ZZAW2,RU000A0ZZBJ7,RU000A0ZYL55,FXKZ,RU000A0ZZNL8,RU000A0JR290,RU000A0ZZCV0,RU000A0ZZZ17
2018-11-09,2,390,0,0,0,0,489,0,10,0,70,980,0,0,0,0,2,298773,0,0,49,2104000,0,0,0,0,52,23,0,192,22032,304,158,161,0,50,0,985,0,0,3440,0,10599,0,30,68330,0,9152,632,12332,2644,0,2905000,1500,245,235,0,493,137,823,30612,4986,4142,435,23030,922,230,4561,1184,0,0,0,0,0,2400,0,50650000,882,0,1400,8,1000,536,100,0,50,,0,3000,10,17100,22732,9,0,40,55,0,0,228,0,3,1379,0,1,2609,
2018-11-12,119,5,0,0,0,0,976,0,80,0,6,19707,0,0,0,0,0,342057,0,0,995,1276000,100,0,0,0,169,326,0,41,14749,55,496,46,0,1050,0,54,5,0,4929,0,3171,0,0,67350,0,142,8217,7677,604,0,1738000,448,46,2,0,1962,351,1167,10745,1636,6327,594,5128,817,201,4216,1962,0,0,0,0,0,4500,143,18050000,782,0,1,0,0,567,470,0,0,,1,10,224,25400,1440,2382,0,40,14,0,400,56,0,19216,1519,0,0,2265,
2018-11-13,228,1838,0,0,0,0,21,0,0,0,170,234,0,1,0,0,0,269990,0,0,511,8457000,0,0,0,0,0,0,0,153,10642,582,772,57,15,316,0,975,1022,0,4898,25,6741,0,2290,26640,0,3770,1753,1899,582,0,2519000,102,42,1893,39,1074,433,961,17037,1309,3818,698,50395,608,280,3166,942,0,0,0,0,2950,10400,255,36900000,431,0,0,0,0,12010,4190,0,0,,250,300,5,16800,1969,221,0,70,0,0,4600,171,36,0,1224,0,0,1170,
2018-11-14,182,3124,0,0,20,0,4249,0,0,0,1476,6675,726,14,15800,0,0,253933,0,0,2,27997000,0,0,0,0,21,10,0,298,13072,7279,503,20,35,1910,0,783,0,0,1186,0,6585,0,0,11470,0,1173,3479,1386,6615,0,2881000,99,106,6,0,748,435,791,7999,2018,2769,443,62007,1304,383,2258,2537,0,0,0,0,0,13500,43,45040000,1504,1526,30,0,176,942,190,0,0,,0,3232,0,6800,1212,0,0,671,0,2,800,35,35,20,1448,0,0,1516,
2018-11-15,10,3085,0,0,0,0,114,10000,291,10,0,14000,0,5,962,0,0,179429,0,0,53,16155000,0,0,90,0,10,5,0,0,5109,1299,702,96,0,113,0,30479,0,0,444,0,2203,0,0,49510,0,14207,579,4395,57454,0,1205000,166,176,677,5,1683,702,1020,29897,943,4896,645,18995,981,543,2610,1145,0,0,0,20,20,7500,6,106550000,1952,0,0,20,0,549,0,0,0,,0,0,20,19600,1535,0,0,194,17,0,0,78,21,1,636,0,1,1339,
2018-11-16,0,11776,0,0,0,0,12241,0,0,2,31838,3875,0,0,0,8,0,164418,0,0,103,26062000,0,0,0,0,6794,0,0,0,11012,1595,211,2425,0,0,0,2490,0,0,2921,0,849,0,0,13300,0,1594,10589,10280,3121,911,2799000,0,73,0,0,464,176,619,13209,1060,3336,206,4947,1214,317,2045,791,0,0,0,0,53,9700,215,81430000,513,0,0,0,204,1815,2620,0,10,,0,0,50,10200,87,1155,0,174,3,1,0,106,0,80,1683,0,0,1275,
2018-11-19,53,0,3,0,0,0,42,442,5,12,0,6593,467,0,0,0,0,136072,0,0,410,9433000,0,0,0,0,3221,3,0,2,12688,1082,505,220,843,152,10,4403,0,0,909,0,10482,0,50,28090,0,277,2338,5016,448,98,1784000,14,4019,26,0,1189,121,1294,11178,2213,2848,236,6958,1056,185,2484,1438,0,0,0,0,0,6100,515,36090000,6410,0,0,0,40,79,7480,0,0,,0,173,1,8800,636,2856,57,0,460,1,0,48,0,0,991,0,0,1361,
2018-11-20,0,0,0,0,0,0,1562,0,5,24,63,6560,154,11,0,0,0,232412,0,0,100,5834000,0,0,0,0,48,0,0,295,17885,1546,270,26,0,10,0,38003,0,0,985,3,5124,0,250,6310,0,3601,1223,2306,6052,1,2702000,11,401,802,0,1332,121,955,9546,3475,5414,180,6669,394,249,3386,1010,0,0,0,0,0,15800,591,17330000,1427,0,0,3000,76,5626,1770,0,0,,399,205,0,15000,300,0,27,39,6688,0,4800,338,2,0,2520,1,0,1976,
2018-11-21,1,0,0,0,0,0,10755,1,0,1,14714,10986,459,8,11960,0,3,214905,0,0,469,26512000,4,0,0,0,11,1,0,83,14007,0,178,29,0,0,0,679316,2335,0,1561,0,5140,0,10,6620,5,8968,2535,1542,0,0,2071000,0,281,0,0,596,194,469,10767,1547,3765,194,3086,846,272,2290,866,0,0,0,43,0,20300,271,41140000,1171,0,0,0,474,274,50,0,0,,0,436,2500,11700,833,45,0,328,9778,0,0,12,550,0,947,0,0,1273,
2018-11-22,90,0,0,0,0,0,3654,0,32,3,121190,195109,0,2,0,1,0,63265,0,0,14,25960000,26,0,0,0,5020,0,0,528,23013,622,303,4,0,0,0,136377,10074,0,742,0,1282,0,30,7140,0,41025,211,20190,,0,8660000,2,159,20001,0,536,176,729,6912,3706,2149,159,5114,1273,156,1756,536,0,0,0,0,1,4300,130,170420000,3158,0,0,0,13308,142,200,0,1,,16,600,28,26000,1014,20547,0,84,2277,1,0,6,0,0,1153,0,0,6581,
2018-11-23,4304,0,0,0,0,0,123,0,144,0,2,59727,1272,0,20000,0,1,182357,0,0,1,21313000,3,0,0,0,5001,184,0,0,12024,593,1666,110,0,22,0,3079,355,0,512,0,120,1,0,4560,0,3214,3277,27122,,0,3142000,4,42,615,5,1977,165,805,11172,1858,2259,825,3407,1333,332,1853,745,0,0,0,0,0,23600,44,53150000,5392,0,0,10416,10000,36,60,0,0,,0,995,224,19000,387,0,0,20,372,0,0,129,0,510,966,0,0,2613,
2018-11-26,1,,0,0,0,0,101,0,0,7,49,45337,0,0,0,0,0,310159,0,0,0,30303000,60,0,0,0,4,236,1,0,21065,149,332,92,0,87,0,662,14928,0,951,25,428,0,20,5910,0,212,33,11813,,0,2540000,17,128,4500,0,1303,702,1118,18396,4497,3408,400,17407,10431,822,1745,1981,0,0,0,0,390,21700,588,60770000,7682,0,0,0,10200,733,180,0,0,,0,8000,0,17300,11010,100,0,243,128,0,600,1,314,830,472,72000,0,933,
2018-11-27,4,,0,0,0,0,451,350,13997,1,5,14941,1,9,2057,0,0,136992,0,0,298,15001000,10,0,0,1,1,0,1,37,14593,460,18,400,5,0,0,27,1,0,1029,0,2380,0,0,24810,0,0,172,11058,,0,863000,0,27,37999,0,408,199,842,20653,4965,1884,312,4762,1311,287,1348,1511,0,0,0,0,1000,3500,373,26560000,3862,0,0,0,13798,7,950,0,0,,0,817,5180,11800,5004,525,0,40,27264,1,0,127,252,0,1314,0,0,764,
2018-11-28,10,,0,0,0,0,559,0,29,71,33010,0,1,0,0,0,0,235387,0,0,0,10018000,0,0,0,0,0,0,0,100,30614,600,427,11,0,3106,0,10306,5381,0,1254,0,4912,0,10670,67220,0,2639,793,1750,,0,1160000,2,41,7095,0,556,305,2030,9142,1830,17425,295,6530,1316,329,1736,2152,0,0,0,0,0,16600,160,28690000,3222,0,102,1,17,1375,60,0,0,,0,2147,140,38200,1652,51,4,309,17,0,0,14,20,0,1151,30,0,599,
2018-11-29,0,,0,0,0,0,37,10,1493,1,17,10,42,0,3495,0,0,233302,1,0,0,5813000,1,0,0,0,7,10,0,19,6526,3674,23,166,0,0,0,10967,8,0,743,41,390,0,250,29560,0,440,440,1701,,0,4779000,1,0,169,0,996,301,1607,10205,1683,2944,331,2912,900,321,2595,1897,0,0,0,0,0,11400,241,33740000,2185,1000,165,0,9271,9053,350,0,0,,567,141,1,14600,4987,40,1,35,1143,12,100,21,10,0,694,118589,0,568,
2018-11-30,0,,0,0,0,0,3603,0,14,0,10005,15,174,0,0,0,0,119212,0,0,0,9577000,0,0,0,0,0,546,2,0,46072,516,11,4,0,370,1320,6371,0,0,586,0,17669,10,4520,11920,0,46,530,1508,,0,1619000,31,0,249,0,465,300,4689,6139,5306,1932,237,5640,1236,115,3232,1119,0,0,0,0,0,13400,819,39020000,1936,1000,0,0,4000,1888,510,0,0,,1,1059,2447,8800,1490,94,0,5869,15,0,0,4000,137,0,1541,0,0,3818,
2018-12-03,0,,0,0,0,0,4,9,0,11,503,4495,134,0,0,0,1,409063,0,0,3,9090000,0,0,177,0,0,1160,0,135,28828,256,383,133,0,10,0,12078,0,0,1003,9,551,0,11750,130790,0,6833,3385,7499,,0,5067000,556,3795,354,0,1875,1048,5308,16861,2639,6120,678,19361,877,567,3989,3615,0,0,0,0,0,14000,41,39400000,1850,0,0,0,0,303,350,0,0,,360,302,4992,32100,428,467,0,0,2135,1,0,2,8,0,1730,0,2,2332,
2018-12-04,0,,0,0,0,0,233,0,8009,0,11585,48645,14,0,0,0,0,107634,0,0,0,9132000,0,0,15,0,0,0,0,26,45299,59,150,257,0,10,10,31207,0,0,1683,0,5995,3,17690,38890,0,14730,630,4301,,0,2131000,162,134,737,0,1063,324,1417,17372,3192,3746,606,66241,767,448,2023,1105,0,0,0,0,1,8300,253,26350000,2501,0,0,10300,0,274,50,0,0,,0,1861,122800,14200,440,2,0,477,556,0,0,16,373,0,520,0,0,4437,
2018-12-05,0,,0,0,0,0,40,45,0,38,158,100000,0,0,0,0,0,79094,0,0,210,6167000,0,0,700,0,0,105,0,434,10665,660,203,1,0,17,0,55326,0,634,589,0,17725,509,1020,5340,0,2,112,6152,,0,2797000,79,1000,5306,0,1019,143,1083,15859,1187,2415,284,12150,10148,192,1499,990,0,0,0,0,19,8300,93,38100000,6583,0,0,50,11,2312,20,0,0,,0,696,124200,13600,234,11062,0,25,538,0,0,0,5,1,1054,0,5,5014,
2018-12-06,0,,0,0,0,0,1389,0,0,0,65,227005,0,0,0,0,8,328177,0,0,3,8479000,0,0,12,0,5,50,0,80,11452,501,99,2582,0,2416,0,89207,0,0,776,0,332,0,3030,10630,0,34,970,17643,,0,2174000,181,446,1941,0,2368,209,5030,18392,3309,1988,253,35629,0,312,2558,792,0,0,0,100,702,5300,44,61680000,3954,0,10,10,0,275,20,0,2,,0,3045,8691,14500,729,25,0,0,0,0,0,0,60,0,908,0,0,1056,
2018-12-07,0,,0,0,0,0,30,0,203,0,16,140911,1,21,0,0,20,132246,0,0,1001,3219000,0,0,164,0,0,269,0,964,14150,933,342,205,0,0,0,2181,27051,0,676,0,284,0,410,52710,0,0,388,1497,,0,4466000,52,9817,604,0,2908,203,4089,42014,1792,22154,327,9364,0,426,3903,2129,0,0,0,0,0,90800,67,39080000,3012,15000,0,0,200,18504,0,0,0,,0,639,536,14200,771,35,0,3,894,0,0,100,50,35,701,0,6,1409,
2018-12-10,0,,0,0,0,0,6521,300,122,14,4702,1651,685,1,10000,0,0,101014,0,0,53,22017000,200,0,50,0,100,100,0,40,41719,161,143,68,0,107,0,10425,5,0,504,0,14216,0,13650,11190,0,1718,1588,5287,,0,1739000,7,41,425,0,1656,349,1253,16179,1707,2913,328,5608,0,310,4015,1746,0,0,0,0,0,12800,474,43660000,332,5700,9,0,20,385,0,0,0,,10931,18719,0,21500,1970,2365,0,118,220,0,0,5,0,4,2758,0,8,1282,
2018-12-11,0,,0,0,0,10,205,0,0,59,1,0,59,0,1991,0,0,179773,0,2003,0,1061000,0,0,0,0,13,165,1,81,10987,2318,38,131,0,158,0,5561,0,0,702,0,3365,0,2130,42950,0,4670,4365,10055,,0,2725000,15,571,150,0,891,834,1488,13835,1230,40855,357,9596,0,315,2257,1033,0,0,0,0,0,13600,36,32080000,2245,100,0,0,166,560,2850,0,0,,53,2633,11,20400,1027,20096,0,2429,226,1,0,100,159,1,1542,0,0,1060,
2018-12-12,99,,0,0,0,0,1626,10000,0,31,380,670,114,0,0,22,0,323276,0,0,51,1173000,5000,0,0,0,20,0,0,10,12902,2386,290,73,0,0,0,6794,0,0,1380,0,7290,0,1090,219730,500,0,24187,2341,,0,1873000,101,80,504,0,1628,151,2177,9932,4081,1928,226,5642,10689,306,1527,557,0,0,0,0,0,17300,190,21310000,1887,690,0,6000,29,58446,100,0,0,,12178,1313,0,55900,1017,2869,0,12,2,0,0,0,45,11,1725,0,15,1939,
2018-12-13,280,,0,0,0,0,164,0,52,225,2642,2500,316,1,0,0,0,143351,0,0,259,10946000,103,0,0,0,52,3,0,0,8777,1391,142,78,0,2332,0,1911,0,0,638,0,3342,0,810,22150,200,112,43364,0,,0,3026000,200,165,866,0,940,194,1075,11774,1427,2062,289,7181,52600,313,2806,961,0,0,0,0,10200,9800,20,54390000,1376,100,100,450,1,87,500,0,1,,67668,9686,9878,28100,336,3519,0,38,35,0,0,370,11,36,1301,5,1,1604,
2018-12-14,11,,0,0,0,0,394,0,60,0,7,0,0,0,995,0,10,123442,0,0,0,2610000,6,0,0,0,1,2,2,75,7914,2506,43,18,1,19,0,2666,0,0,973,0,6135,0,530,86820,0,196,438,,,3000,1904000,1,293,198,6500,1191,304,2975,8893,1605,1215,316,8670,8639,299,1437,921,0,0,0,0,8,5500,511,27450000,448,100,11,52,0,857,10510,2536,0,,4010,8047,0,18400,4357,48,0,79,110,32,0,8000,94,14485,9244,0,0,2840,
2018-12-17,0,,0,0,0,0,7566,0,6006,15,2,0,0,1,0,2000,20,94943,0,0,0,3617000,2,0,0,0,0,0,1,408,14463,133,15,49,0,52,0,1107,0,0,1483,0,1763,10,1480,22520,0,2,1483,,,9700,1362000,10,359,1,1,1134,353,1405,14033,1334,2131,316,5904,7713,566,3608,1704,0,0,0,0,0,5800,26,34790000,345,0,0,390,0,13,1560,0,0,,120,3589,0,15400,219,1,1000,63,50,0,0,4103,104,22600,5755,0,0,10565,
2018-12-18,0,,0,0,0,0,795,11,50,60,285,100101,0,2,0,0,0,163852,0,0,150,2370000,43,0,6,0,0,407,2,40,14599,1586,139,35,0,2046,0,3224,0,0,3328,0,3931,0,690,53040,0,38,908,,,0,3931000,69,453,1046,0,1715,225,1219,16226,1073,1871,212,20178,16441,398,3424,2140,0,0,0,0,820,19200,94,66730000,550,0,134,0,124,41,2070,0,0,,0,5243,0,25500,520,1977,0,120,111,15,0,42,24,31,6397,0,0,3557,
2018-12-19,109,,0,0,0,0,165,2,0,124,103,1033451,0,0,10,0,40,148234,0,0,0,7054000,0,0,34,8,61,0,3,473,16759,2230,33,125,0,13,0,805,1532,25901,1779,0,2699,0,1590,28660,0,0,4491,,,0,1524000,186,15349,220,0,1660,199,2414,13496,1252,2418,223,22244,14707,219,4674,1182,0,0,0,0,100,11200,143,59550000,371,0,84,202,52,815,2510,0,100,,298,728,5100,17300,2045,3984,600,61,251,0,100,62,72,32,5452,0,5,1303,
2018-12-20,8,,0,0,1000,0,64,0,1,38,1,0,5,97,11990,0,1,235385,0,0,888,2595000,0,0,0,8,3,0,1,434,8283,1598,161,143,0,0,0,2980,0,0,1134,0,7520,0,1490,20120,0,193,8057,,,5,9518000,154,1537,2559,0,975,1350,1030,14077,2048,4771,732,24415,15159,307,5055,1013,0,0,0,0,40,19600,47,64080000,1615,2100,20,0,16,5665,1820,0,101,,0,801,6071,29700,495,415,300,75,8562,0,100,214,256,28,5431,0,2,2131,0
2018-12-21,355,,0,0,1000,0,30,2605,0,511,690318,815310,15,0,0,0,0,123085,0,0,190,1610000,0,0,0,0,102,11,8,11,17662,4576,521,641,200,0,0,943,4560,0,5107,0,3966,0,870,38270,0,11931,3121,,,0,3308000,300,116,1433,0,1627,1500,773,20564,2176,2807,1199,29347,15429,246,2323,992,0,0,0,10200,46552,4500,7,52960000,446,17100,41000,5500,1000,443,1110,0,298,,2858,1137,0,11000,6431,141,13500,180,8,100,500,4337,61,98,40454,0,2,3652,3000
2018-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
